,Unnamed: 0,code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,vol_mean,day_count,vol_up,vol_down,vol_sum
1721,1721,2471,中超控股,电气设备,江苏,86.26,125785.1,126800.0,855886.0,658723.06,120260.63,2628.9,0.02,0.043,1.39,5.3,20100910,3.28037611938,244.0,116.0,121.0,185.841107099
2403,2403,300407,凯发电气,电气设备,天津,0.0,13493.01,27200.0,112577.4,87408.42,9776.42,25915.64,0.95,-0.017,2.89,5.84,20141203,3.27788471471,136.0,72.0,64.0,125.745464861
1415,1415,2119,康强电子,半导体,浙江,131.75,20620.0,20620.0,147056.86,70073.81,55253.4,24444.63,1.19,0.036,3.2,5.99,20070302,3.27740507596,240.0,106.0,131.0,4.17328335998
662,662,300079,数码视讯,通信设备,北京,61.45,120622.93,137779.39,413389.41,280742.09,33839.28,58040.91,0.42,0.034,2.33,3.58,20100430,3.27651846126,244.0,117.0,124.0,86.4404059209
800,800,2568,百润股份,红黄药酒,上海,0.0,37744.51,89600.0,195909.59,83059.57,65283.67,0.0,0.0,-0.162,0.95,24.72,20110325,3.27481073684,225.0,115.0,106.0,177.488203213
1508,1508,603338,浙江鼎力,专用机械,浙江,45.49,4622.5,16250.0,134875.92,96484.22,21316.11,38886.46,2.39,0.518,6.12,7.71,20150325,3.27340865317,234.0,114.0,119.0,113.484560407
1887,1887,727,华东科技,元器件,江苏,0.0,244242.75,452956.69,3063070.0,414010.5,85569.18,883831.13,1.95,-0.005,2.37,1.42,19970520,3.27195733855,244.0,116.0,125.0,127.488545165
259,259,2443,金洲管道,钢加工,浙江,64.44,50305.71,52053.55,293586.69,169013.13,75310.46,77365.81,1.49,0.101,3.8,3.43,20100706,3.27148077193,183.0,83.0,99.0,10.6024327195
481,481,600485,信威集团,通信设备,北京,27.55,163144.31,292374.28,1746071.38,1454196.25,60517.68,313304.34,1.07,0.159,3.68,4.75,20030807,3.26896164804,165.0,82.0,82.0,75.9573069953
1421,1421,2719,麦趣尔,乳制品,新疆,231.25,3380.14,10883.71,140735.77,88363.65,23011.02,74161.07,6.81,0.054,10.38,4.85,20140128,3.26592229858,175.0,85.0,89.0,33.7293368251
389,389,961,中南建设,建筑施工,江苏,51.72,290966.25,370978.88,10288254.0,9453158.0,206201.75,531939.25,1.43,0.04,3.71,2.23,20000301,3.26409905086,244.0,105.0,135.0,103.123281618
1191,1191,600160,巨化股份,化工原料,浙江,0.0,181091.59,181091.59,925374.81,309737.22,453886.44,246911.38,1.36,-0.019,3.99,2.62,19980626,3.26220797054,243.0,116.0,123.0,30.5851255307
194,194,300096,易联众,软件服务,福建,0.0,37292.75,43000.0,89791.34,71266.43,10476.05,3761.25,0.09,-0.01,1.64,12.43,20100728,3.25966615001,191.0,92.0,97.0,70.9052890744
2208,2208,603599,广信股份,农药化肥,安徽,31.18,13648.0,37648.0,315090.16,168271.47,103826.09,103388.82,2.75,0.146,6.08,3.0,20150513,3.25913267527,240.0,109.0,131.0,90.082982503
102,102,622,*ST恒立,汽车配件,湖南,0.0,42522.6,42522.6,29688.9,16666.5,4122.23,18291.42,0.43,-0.009,0.35,24.88,19961107,3.25822125597,222.0,103.0,118.0,32.5579789794
2339,2339,2529,海源机械,专用机械,福建,0.0,20000.0,26000.0,124016.42,57620.07,39472.34,62375.46,2.4,-0.029,4.96,3.79,20101224,3.25671129575,244.0,117.0,124.0,22.1125950207
694,694,300254,仟源医药,化学制药,山西,159.5,13735.4,20830.8,134293.75,48896.5,27066.25,47697.53,2.29,0.032,3.81,5.33,20110819,3.25645754999,224.0,103.0,119.0,10.8753356184
120,120,600845,宝信软件,软件服务,上海,48.54,47369.53,78324.9,646181.75,497973.25,37168.73,136576.25,1.74,0.246,5.12,4.67,19940311,3.2548822365,244.0,123.0,121.0,114.780797089
1947,1947,2095,生 意 宝,互联网,浙江,536.3,25135.98,25272.0,59870.65,43339.48,6802.16,1211.75,0.05,0.024,1.98,25.49,20061215,3.24824410689,244.0,118.0,126.0,0.231075269023
1946,1946,2655,共达电声,元器件,山东,344.35,36000.0,36000.0,117933.77,55052.55,35056.65,6423.6,0.18,0.022,1.77,8.43,20120217,3.24604360324,168.0,76.0,90.0,26.7088010375
2889,2889,2539,新都化工,农药化肥,四川,71.33,40678.76,101010.0,870787.88,332718.19,387570.56,113637.7,1.13,0.109,2.98,5.22,20110118,3.24566915944,244.0,106.0,135.0,102.518192806
